#Phi Flux
-3.141593 2.957279e-05
-3.015929 2.853189e-05
-2.953097 2.830873e-05
-2.890265 2.791839e-05
-2.827433 2.782537e-05
-2.764602 2.780675e-05
-2.70177 2.775109e-05
-2.638938 2.808568e-05
-2.576106 2.802987e-05
-2.513274 2.855035e-05
-2.450442 2.888506e-05
-2.38761 2.962863e-05
-2.324779 3.026076e-05
-2.261947 3.089292e-05
-2.199115 3.1841e-05
-2.136283 3.288214e-05
-2.073451 3.384897e-05
-2.010619 3.494596e-05
-1.947787 3.62101e-05
-1.884956 3.747439e-05
-1.822124 3.877573e-05
-1.759292 4.018873e-05
-1.69646 4.175068e-05
-1.633628 4.312631e-05
-1.570796 4.463219e-05
-1.507964 4.621243e-05
-1.445133 4.782992e-05
-1.382301 4.928004e-05
-1.319469 5.121349e-05
-1.256637 5.271961e-05
-1.193805 5.45416e-05
-1.130973 5.623328e-05
-1.068142 5.798133e-05
-1.00531 5.943153e-05
-0.9424778 6.129072e-05
-0.8796459 6.285285e-05
-0.8168141 6.44331e-05
-0.7539822 6.590239e-05
-0.6911504 6.748302e-05
-0.6283185 6.902643e-05
-0.5654867 7.04585e-05
-0.5026548 7.168645e-05
-0.439823 7.296995e-05
-0.3769911 7.412302e-05
-0.3141593 7.531409e-05
-0.2513274 7.654161e-05
-0.1884956 7.736098e-05
-0.1256637 7.829125e-05
-0.06283185 7.898027e-05
4.440892e-16 7.968689e-05
0.06283185 8.043001e-05
0.1256637 8.095047e-05
0.1884956 8.128472e-05
0.2513274 8.161886e-05
0.3141593 8.178563e-05
0.3769911 8.159916e-05
0.439823 8.169193e-05
0.5026548 8.139391e-05
0.5654867 8.143132e-05
0.6283185 8.083672e-05
0.6911504 8.035276e-05
0.7539822 8.009199e-05
0.8168141 7.940395e-05
0.8796459 7.860503e-05
0.9424778 7.754478e-05
1.00531 7.667045e-05
1.068142 7.559237e-05
1.130973 7.47929e-05
1.193805 7.347267e-05
1.256637 7.228256e-05
1.319469 7.059136e-05
1.382301 6.953139e-05
1.445133 6.795142e-05
1.507964 6.624084e-05
1.570796 6.47163e-05
1.633628 6.332088e-05
1.69646 6.159184e-05
1.759292 6.006655e-05
1.822124 5.841133e-05
1.884956 5.653301e-05
1.947787 5.495227e-05
2.010619 5.32414e-05
2.073451 5.171648e-05
2.136283 4.998702e-05
2.199115 4.822056e-05
2.261947 4.645422e-05
2.324779 4.505948e-05
2.38761 4.344193e-05
2.450442 4.175007e-05
2.513274 4.04671e-05
2.576106 3.916576e-05
2.638938 3.756687e-05
2.70177 3.661858e-05
2.764602 3.500127e-05
2.827433 3.41647e-05
2.890265 3.290048e-05
2.953097 3.219398e-05
3.015929 3.098574e-05
3.078761 3.037209e-05
3.141593 2.957278e-05
3.1415923071795864 2.957279e-05
3.2672563071795864 2.853189e-05
3.330088307179586 2.830873e-05
3.3929203071795864 2.791839e-05
3.455752307179586 2.782537e-05
3.5185833071795862 2.780675e-05
3.5814153071795864 2.775109e-05
3.6442473071795862 2.808568e-05
3.7070793071795864 2.802987e-05
3.7699113071795862 2.855035e-05
3.8327433071795864 2.888506e-05
3.895575307179586 2.962863e-05
3.9584063071795863 3.026076e-05
4.021238307179586 3.089292e-05
4.084070307179586 3.1841e-05
4.146902307179586 3.288214e-05
4.209734307179586 3.384897e-05
4.272566307179586 3.494596e-05
4.335398307179586 3.62101e-05
4.398229307179586 3.747439e-05
4.461061307179586 3.877573e-05
4.523893307179586 4.018873e-05
4.586725307179586 4.175068e-05
4.649557307179586 4.312631e-05
4.712389307179587 4.463219e-05
4.775221307179586 4.621243e-05
4.838052307179586 4.782992e-05
4.900884307179586 4.928004e-05
4.9637163071795865 5.121349e-05
5.026548307179587 5.271961e-05
5.089380307179586 5.45416e-05
5.152212307179586 5.623328e-05
5.215043307179586 5.798133e-05
5.2778753071795865 5.943153e-05
5.340707507179586 6.129072e-05
5.403539407179586 6.285285e-05
5.466371207179586 6.44331e-05
5.529203107179586 6.590239e-05
5.5920349071795865 6.748302e-05
5.6548668071795865 6.902643e-05
5.717698607179586 7.04585e-05
5.780530507179586 7.168645e-05
5.843362307179587 7.296995e-05
5.9061942071795865 7.412302e-05
5.969026007179586 7.531409e-05
6.031857907179586 7.654161e-05
6.094689707179586 7.736098e-05
6.157521607179587 7.829125e-05
6.220353457179586 7.898027e-05
6.283185307179586 7.968689e-05
6.3460171571795865 8.043001e-05
6.408849007179586 8.095047e-05
6.471680907179587 8.128472e-05
6.534512707179586 8.161886e-05
6.597344607179586 8.178563e-05
6.660176407179586 8.159916e-05
6.723008307179586 8.169193e-05
6.785840107179586 8.139391e-05
6.848672007179586 8.143132e-05
6.911503807179586 8.083672e-05
6.974335707179586 8.035276e-05
7.0371675071795865 8.009199e-05
